target,text
1,"Abaalmarin waxaa u qiimo badan tan alle xagiisa kaga timado , Ajar allaha kaa siiyo iyagana raxmada illahi oo balaaaran baahidana uga maar maan rabi ha siiyo , sideey Noogu Naxeen illahay Ha ogu Naxariisto waa Duco mug wayn Dadkii la baxay sadaqadas illahay Aduun iyo Aakharabo Ha idiin Naxariisto cid walbo gacan ka gaysaty ajir aan dhamad lahayn Allaha ka siiyo si gaar ah walal khadaab kaalin muhiim ah ayad ka Jogtaa cawinta walaalaheen dhibataysan Allaha kaa Abaal mariyo asxaanka aad u fashay walaalaheen"
1,"Guuleyso brother geesi ilahay ha kuu barakeeyo Aamin aamin aamin , Walalkey allah kaku xafido wllhi runtii wax badan ayaa dadka masaakiinta u qabatey allah hakaa abaal mariyo adiga iyo dadka wax soo dhiibtey hor socod wacan , Ilaahow abaarta barwaaqo ugu badal , Ajar iyo xasanaad Aan lagu xisaabin Allah kugu abaal mariyo sida wanaga aad uso bandhigeysid ku si dadal"
1,"siyaasad waxba kama taqaanid iska seexo si walbo lagaaga raayo wa inad guusha qofka u qirdaa wa qeeb ka mid ah raganimada , Shacabka aniga iyo inta is badalka doonka ah waxba hanoo hambalyeeyn mudane , ee teendhada imaaaw ama nagu kala wad , villa Somalia markii wadada la mariyay ayay isdaad raaciyeen , Farmajo wa lagu meyd garacay"
1,"Waxaan hubaan in Faysal Cali waraabe iyo Kooxdiisii Maareeye iyo oo Ictiraaf raadis ah ka danbeeyaan Allahay Faysal oo Daacish aha iyo Damujadiid oo Madaxdii Al shabaaba oon Deni iyo Madoobe ku jiraa , Rooble waa Hogaamiye Halyey ah oo Dadkiisa inuu heshiisiyo oo dhexda uga jiro karti u leh ee sida ina Farmaajo Ciil iyo Caro qol kulama xirna , soo celi kooxdii Garbaharey ee aad suuqa xoolaha iyo ceel cirfiid kusoo dajisay saaka"
1,"Dagaalkiina Dani u wareegay maadama aad ka cabsi qabtaan misaankiisa Lkn Dadka Somaaaliyeed iyo Shacab Puntland ba waa fahmayaan Fariimahaan ujeedooyinka ku hoos jira Sorry , Maalinki aad Guushiisa ka aamustay oo kursiga soo dhacay, ayaan ogaaday in Fahad uusan kursi soo qaadan Maxaa Boor iskugu qarinee Fahad maalinkaas ayaad Hambalyo dhihi laheed, ee inaad Garab istaag ka weeyse ayaad ugu hambaleey weeysee, haddana ugu hambalyeey in laga adkaaday"
1,"Warkaan kasoo baxay Dowladda Mareykanka ayaa kusoo beegmaya xilli Beesha Caalamka Maanta ay ku baaqday in la dardargeliye doorashada Xildhibaannada Golaha Sjacabka , Heshiiskii doorashada ay Muqdisho ku gaareen Golaha wadatashiga ayaa dhigayay in  Bishaan la soo gebagabeeyo doorashada Golaha Shacabka, balse kala bar kaliya la doortay"
1,"Safaaradda Mareykanka ayaa mar kale ugu baaqday Madaxda Soomaalida inay ka dhabeeyaan balanqaadkooda ahaa in doorashada Baarlamaanka lagu soo gabagabeeyo ka bishan Febraayo , “Dowladda Mareykanka waxay la xisaabtami doontaa ciddii carqaladeysa hannaanka doorashada”ayaa lagu yiri Qoraalka Twitterka ee Safaaradda Mareykank ee Muqdisho"
1,"Xildhibaanadan oo kala ah, Nasro Mahdi Caraale, Saadaq Cabdullahi Cabdi, iyo Cadar xareed jibriil ayaa kamid noqonaya Xildhibaanada golaha shacabka ee Baarlamaanka aad , Madaxweynaha Dowlad Goboleedka Jubbaland Axmed Maxamed Islaam, ayaa Xildhibaannada kula dardaarmay inay si dhab ah ugu Shaqeeyaan Shacabka ay matalaan"
1,"Saaxiibada caalamku waxa ay ka war hayaan in doorashada kuraasta Golaha Shacabka ay qiyaastii  kala bar qabsoontay , Saaxiibada caalamku waxay mar kale hoosta ka xarriiqayaan baahida loo qabo in sixidda qaladaadka habraaca loo wajaho si dhexdhexaad ah oo daahfuran si loo dhiso kalsoonida geeddisocodka doorashada iyo natiijadeedaba"
1,"Sida lagu qeexay Warmurtiyeedka Golaha Wadatashiga Qaranka GWQ ee bishii Janaayo, musharrixiinta waa inay xor u ahaadaan inay u tartamaan caqabad la’aan ,  Sidoo kale, waxaan ugu baaqaynaa dhammaan madaxda inay ka fogaadaan sii baahidda xiisadda siyaasadeed, lana xaqiijiyo in ciidamada ammaanka aan loo isticmaalin sidii qalab siyaasadeed"
